Date (plain text),Day,Description,Date
"January 21, 2005",Friday,Bakri Id,1/21/2005
"January 26, 2005",Wednesday,Republic Day,1/26/2005
"March 25, 2005",Friday,Good Friday,3/25/2005
"April 14, 2005",Thursday,Ambedkar Jayanti,4/14/2005
"August 15, 2005",Monday,Independence Day,8/15/2005
"September 7, 2005",Wednesday,Ganesh Chaturthi,9/7/2005
"October 12, 2005",Wednesday,Dasara,10/12/2005
"November 1, 2005",Tuesday,Laxmi Puja*,11/1/2005
"November 3, 2005",Thursday,Bhaubeej,11/3/2005
"November 15, 2005",Tuesday,Guru Nanak Jayanti,11/15/2005
"February 20, 2005",Sunday,Moharram,2/20/2005
"March 26, 2005",Saturday,Holi,3/26/2005
"May 1, 2005",Sunday,Maharashtra Day,5/1/2005
"October 2, 2005",Sunday,Gandhi Jayanti,10/2/2005
"November 5, 2005",Saturday,Ramzan Id,11/5/2005
"December 25, 2005",Sunday,Christmas,12/25/2005
"January 11, 2006",Wednesday,Bakri Id,1/11/2006
"January 26, 2006",Thursday,Republic Day,1/26/2006
"February 9, 2006",Thursday,Moharram,2/9/2006
"March 15, 2006",Wednesday,Holi,3/15/2006
"April 6, 2006",Thursday,Ram Navami,4/6/2006
"April 11, 2006",Tuesday,Mahavir Jayanti/ Id-E-Milad,4/11/2006
"April 14, 2006",Friday,Ambedkar Jayanti/ Good Friday,4/14/2006
"May 1, 2006",Monday,Maharashtra Day,5/1/2006
"August 15, 2006",Tuesday,Independence Day,8/15/2006
"October 2, 2006",Monday,Gandhi Jayanti/ Dasara,10/2/2006
"October 24, 2006",Tuesday,Bhaubeej,10/24/2006
"October 25, 2006",Wednesday,Ramzan Id,10/25/2006
"December 25, 2006",Monday,Christmas,12/25/2006
"May 13, 2006",Saturday,Buddha Pournima,5/13/2006
"August 27, 2006",Sunday,Ganesh Chaturthi,8/27/2006
"October 21, 2006",Saturday,Laxmi Puja*,10/21/2006
"November 5, 2006",Sunday,Guru Nanak Jayanti,11/5/2006
"January 1, 2007",Monday,Bakri ID,1/1/2007
"January 26, 2007",Friday,Republic Day,1/26/2007
"January 30, 2007",Tuesday,Moharram,1/30/2007
"February 16, 2007",Friday,Mahashivratri,2/16/2007
"March 27, 2007",Tuesday,Ram Navami,3/27/2007
"April 6, 2007",Friday,Good Friday,4/6/2007
"May 1, 2007",Tuesday,Maharashtra Day,5/1/2007
"May 2, 2007",Wednesday,Buddha Pournima,5/2/2007
"August 15, 2007",Wednesday,Independence Day,8/15/2007
"October 2, 2007",Tuesday,Gandhi Jayanti,10/2/2007
"November 9, 2007",Friday,Laxmi Puja*,11/9/2007
"December 21, 2007",Friday,Bakri ID (falls twice in 2007),12/21/2007
"December 25, 2007",Tuesday,Christmas,12/25/2007
"March 4, 2007",Sunday,Holi,3/4/2007
"March 31, 2007",Saturday,Mahavir Jayanti,3/31/2007
"April 1, 2007",Sunday,Id-E-Milad,4/1/2007
"April 14, 2007",Saturday,Ambedkar Jayanti,4/14/2007
"September 15, 2007",Saturday,Ganesh Chaturthi,9/15/2007
"October 14, 2007",Sunday,Ramzan Id,10/14/2007
